artist,name,date,time,currency,min_price,max_price,venue_name,venue_city,venue_state
Chappell Roan,All Things Go Music Festival - Sunday,2024-09-29,11:30:00,USD,199.0,595.0,Merriweather Post Pavilion,Columbia,Maryland
Post Malone,Post Malone: F-1 Trillion Tour,2024-09-23,20:00:00,USD,49.5,704.5,Broadview Stage at SPAC,Saratoga Springs,New York
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-01,20:00:00,USD,69.5,429.5,Blossom Music Center,Cuyahoga Falls,Ohio
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-05,20:00:00,USD,59.5,379.5,Coastal Credit Union Music Park at Walnut Creek,Raleigh,North Carolina
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-11,20:00:00,USD,49.5,349.5,Lakewood Amphitheatre,Atlanta,Georgia
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-04,20:00:00,USD,49.5,379.5,Veterans United Home Loans Amphitheater at Virginia Beach,Virginia Beach,Virginia
Post Malone,Post Malone: F-1 Trillion Tour,2024-09-25,20:00:00,USD,49.5,199.5,The Pavilion at Montage Mountain,Scranton,Pennsylvania
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-07,20:00:00,USD,49.5,379.5,PNC Music Pavilion,Charlotte,North Carolina
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-26,19:30:00,USD,89.5,336.5,Germania Insurance Amphitheater,Austin,Texas
Post Malone,Post Malone: F-1 Trillion Tour,2024-09-29,20:00:00,USD,49.5,279.5,Northwell at Jones Beach Theater,Wantagh,New York
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-22,20:00:00,USD,89.5,309.5,The Cynthia Woods Mitchell Pavilion presented by Huntsman,The Woodlands,Texas
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-09,19:30:00,USD,83.5,323.5,Credit One Stadium ,Charleston,South Carolina
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-17,20:00:00,USD,80.5,420.5,The Wharf Amphitheater,Orange Beach,Alabama
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-15,20:00:00,USD,89.5,299.5,Oak Mountain Amphitheatre,Birmingham,Alabama
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-27,19:30:00,USD,69.5,236.5,Germania Insurance Amphitheater,Austin,Texas
Post Malone,Post Malone: F-1 Trillion Tour,2024-10-23,20:00:00,USD,69.5,309.5,The Cynthia Woods Mitchell Pavilion presented by Huntsman,The Woodlands,Texas
Post Malone,Global Citizen Festival,2024-09-28,16:00:00,USD,79.0,3000.0,Great Lawn at Central Park,New York,New York
Zach Bryan,Zach Bryan,2024-12-18,19:00:00,USD,79.0,375.0,Barclays Center,Brooklyn,New York
Zach Bryan,Zach Bryan,2024-12-19,19:00:00,USD,79.0,375.0,Barclays Center,Brooklyn,New York
Zach Bryan,Zach Bryan,2024-11-22,19:00:00,USD,100.0,405.0,Tacoma Dome,Tacoma,Washington
Zach Bryan,Zach Bryan,2024-11-23,19:00:00,USD,100.0,405.0,Tacoma Dome,Tacoma,Washington
Zach Bryan,Zach Bryan,2024-11-29,19:00:00,USD,96.0,409.52,Golden 1 Center,Sacramento,California
Zach Bryan,Zach Bryan,2024-11-26,19:00:00,USD,95.0,400.0,Moda Center,Portland,Oregon
Zach Bryan,Zach Bryan,2024-11-30,19:00:00,USD,96.0,409.52,Golden 1 Center,Sacramento,California
Zach Bryan,Zach Bryan,2024-11-27,19:00:00,USD,95.0,400.0,Moda Center,Portland,Oregon
